,State_Name,District_Name,Crop_Year,Season,Crop,Area,Production,P/A
66293,Haryana,FARIDABAD,2001,Kharif     ,Arhar/Tur,3519.0,2800.0,0.7956805910770105
66294,Haryana,FARIDABAD,2001,Kharif     ,Bajra,13056.0,19000.0,1.4552696078431373
66296,Haryana,FARIDABAD,2001,Kharif     ,Jowar,17739.0,4000.0,0.2254918541067704
66297,Haryana,FARIDABAD,2001,Kharif     ,Maize,931.0,3000.0,3.2223415682062297
66298,Haryana,FARIDABAD,2001,Kharif     ,Moong(Green Gram),391.0,100.0,0.2557544757033248
66299,Haryana,FARIDABAD,2001,Kharif     ,Rice,31274.0,88000.0,2.8138389716697576
66300,Haryana,FARIDABAD,2001,Kharif     ,Sesamum,553.0,100.0,0.18083182640144665
66302,Haryana,FARIDABAD,2001,Rabi       ,Barley,1825.0,6000.0,3.287671232876712
66306,Haryana,FARIDABAD,2001,Rabi       ,Rapeseed &Mustard,4554.0,9000.0,1.976284584980237
66307,Haryana,FARIDABAD,2001,Rabi       ,Wheat,132332.0,520000.0,3.929510624792189
66308,Haryana,FARIDABAD,2001,Whole Year ,Dry chillies,167.0,300.0,1.7964071856287425
66314,Haryana,FARIDABAD,2002,Kharif     ,Arhar/Tur,4925.0,3800.0,0.7715736040609137
66315,Haryana,FARIDABAD,2002,Kharif     ,Bajra,5787.0,7000.0,1.2096077414895456
66317,Haryana,FARIDABAD,2002,Kharif     ,Jowar,24615.0,5000.0,0.20312817387771684
66318,Haryana,FARIDABAD,2002,Kharif     ,Maize,797.0,2000.0,2.5094102885821834
66320,Haryana,FARIDABAD,2002,Kharif     ,Rice,18092.0,48000.0,2.6531063453460093
66322,Haryana,FARIDABAD,2002,Rabi       ,Barley,1678.0,6000.0,3.575685339690107
66326,Haryana,FARIDABAD,2002,Rabi       ,Rapeseed &Mustard,6452.0,9000.0,1.3949163050216986
66327,Haryana,FARIDABAD,2002,Rabi       ,Wheat,128491.0,526000.0,4.093671930329751
66334,Haryana,FARIDABAD,2003,Kharif     ,Arhar/Tur,3593.0,4400.0,1.224603395491233
66335,Haryana,FARIDABAD,2003,Kharif     ,Bajra,10233.0,14000.0,1.3681227401544025
66339,Haryana,FARIDABAD,2003,Kharif     ,Jowar,17116.0,4000.0,0.23369946249123627
66341,Haryana,FARIDABAD,2003,Kharif     ,Moong(Green Gram),322.0,100.0,0.3105590062111801
66342,Haryana,FARIDABAD,2003,Kharif     ,Rice,28333.0,78000.0,2.752973564394875
66343,Haryana,FARIDABAD,2003,Kharif     ,Sesamum,479.0,100.0,0.20876826722338204
66345,Haryana,FARIDABAD,2003,Rabi       ,Barley,1470.0,4000.0,2.7210884353741496
66349,Haryana,FARIDABAD,2003,Rabi       ,Rapeseed &Mustard,5532.0,9000.0,1.6268980477223427
66350,Haryana,FARIDABAD,2003,Rabi       ,Wheat,131447.0,520000.0,3.955967043751474
66356,Haryana,FARIDABAD,2004,Kharif     ,Arhar/Tur,3460.0,2800.0,0.8092485549132948
66357,Haryana,FARIDABAD,2004,Kharif     ,Bajra,10363.0,12000.0,1.1579658400077197
66360,Haryana,FARIDABAD,2004,Kharif     ,Jowar,14836.0,4000.0,0.26961445133459155
66362,Haryana,FARIDABAD,2004,Kharif     ,Moong(Green Gram),264.0,100.0,0.3787878787878788
66363,Haryana,FARIDABAD,2004,Kharif     ,Rice,28255.0,68000.0,2.406653689612458
66364,Haryana,FARIDABAD,2004,Kharif     ,Sesamum,279.0,100.0,0.35842293906810035
66366,Haryana,FARIDABAD,2004,Rabi       ,Barley,1747.0,5000.0,2.862049227246709
66370,Haryana,FARIDABAD,2004,Rabi       ,Rapeseed &Mustard,5203.0,6000.0,1.1531808571977704
66371,Haryana,FARIDABAD,2004,Rabi       ,Wheat,135774.0,526000.0,3.8740848763386215
66374,Haryana,FARIDABAD,2005,Kharif     ,Arhar/Tur,2721.0,2000.0,0.735023888276369
66375,Haryana,FARIDABAD,2005,Kharif     ,Bajra,8654.0,13000.0,1.5021955165241507
66379,Haryana,FARIDABAD,2005,Kharif     ,Jowar,8650.0,2000.0,0.23121387283236994
66381,Haryana,FARIDABAD,2005,Kharif     ,Moong(Green Gram),2278.0,1100.0,0.4828797190517998
66382,Haryana,FARIDABAD,2005,Kharif     ,Rice,26376.0,70000.0,2.653927813163482
66383,Haryana,FARIDABAD,2005,Kharif     ,Sesamum,309.0,100.0,0.32362459546925565
66385,Haryana,FARIDABAD,2005,Rabi       ,Barley,1191.0,3000.0,2.5188916876574305
66389,Haryana,FARIDABAD,2005,Rabi       ,Rapeseed &Mustard,4925.0,8000.0,1.6243654822335025
66390,Haryana,FARIDABAD,2005,Rabi       ,Wheat,104549.0,383000.0,3.663354025385226
66395,Haryana,FARIDABAD,2006,Kharif     ,Arhar/Tur,2590.0,1900.0,0.7335907335907336
66396,Haryana,FARIDABAD,2006,Kharif     ,Bajra,8868.0,16000.0,1.8042399639152007
66400,Haryana,FARIDABAD,2006,Kharif     ,Jowar,8967.0,3000.0,0.33456005352960855
66402,Haryana,FARIDABAD,2006,Kharif     ,Moong(Green Gram),203.0,100.0,0.49261083743842365
66403,Haryana,FARIDABAD,2006,Kharif     ,Rice,27360.0,84000.0,3.0701754385964914
66404,Haryana,FARIDABAD,2006,Kharif     ,Sesamum,224.0,100.0,0.44642857142857145
66406,Haryana,FARIDABAD,2006,Rabi       ,Barley,1699.0,7000.0,4.120070629782225
66410,Haryana,FARIDABAD,2006,Rabi       ,Rapeseed &Mustard,4220.0,6000.0,1.4218009478672986
66411,Haryana,FARIDABAD,2006,Rabi       ,Wheat,104820.0,389000.0,3.711123831329899
66416,Haryana,FARIDABAD,2007,Kharif     ,Arhar/Tur,2264.0,2000.0,0.8833922261484098
66417,Haryana,FARIDABAD,2007,Kharif     ,Bajra,9763.0,17000.0,1.7412680528526068
66420,Haryana,FARIDABAD,2007,Kharif     ,Jowar,10044.0,5000.0,0.49780963759458385
66422,Haryana,FARIDABAD,2007,Kharif     ,Moong(Green Gram),3431.0,1700.0,0.49548236665695133
66424,Haryana,FARIDABAD,2007,Kharif     ,Rice,29214.0,94000.0,3.217635380297118
66425,Haryana,FARIDABAD,2007,Kharif     ,Sesamum,194.0,100.0,0.5154639175257731
66427,Haryana,FARIDABAD,2007,Rabi       ,Barley,1130.0,3000.0,2.6548672566371683
66431,Haryana,FARIDABAD,2007,Rabi       ,Rapeseed &Mustard,3490.0,5000.0,1.4326647564469914
66432,Haryana,FARIDABAD,2007,Rabi       ,Wheat,103867.0,485000.0,4.669433024926107
66434,Haryana,FARIDABAD,2008,Kharif     ,Arhar/Tur,736.0,700.0,0.9510869565217391
66435,Haryana,FARIDABAD,2008,Kharif     ,Bajra,4313.0,7000.0,1.623000231857176
66437,Haryana,FARIDABAD,2008,Kharif     ,Jowar,2032.0,1000.0,0.4921259842519685
66440,Haryana,FARIDABAD,2008,Kharif     ,Rice,8447.0,22000.0,2.6044749615248017
66442,Haryana,FARIDABAD,2008,Rabi       ,Barley,364.0,3000.0,8.241758241758241
66443,Haryana,FARIDABAD,2008,Rabi       ,Rapeseed &Mustard,845.0,2000.0,2.366863905325444
66444,Haryana,FARIDABAD,2008,Rabi       ,Wheat,33660.0,159000.0,4.723707664884135
66447,Haryana,FARIDABAD,2009,Kharif     ,Arhar/Tur,301.0,300.0,0.9966777408637874
66448,Haryana,FARIDABAD,2009,Kharif     ,Bajra,3653.0,6000.0,1.6424856282507527
66449,Haryana,FARIDABAD,2009,Kharif     ,Jowar,1866.0,10.0,0.0053590568060021436
66452,Haryana,FARIDABAD,2009,Kharif     ,Rice,9560.0,24000.0,2.510460251046025
66455,Haryana,FARIDABAD,2009,Rabi       ,Wheat,33850.0,136000.0,4.017725258493353
66458,Haryana,FARIDABAD,2010,Kharif     ,Bajra,4384.0,5000.0,1.1405109489051095
66461,Haryana,FARIDABAD,2010,Kharif     ,Jowar,1930.0,1000.0,0.5181347150259067
66463,Haryana,FARIDABAD,2010,Kharif     ,Moong(Green Gram),283.0,200.0,0.7067137809187279
66465,Haryana,FARIDABAD,2010,Kharif     ,Rice,9550.0,18000.0,1.8848167539267016
66466,Haryana,FARIDABAD,2010,Kharif     ,Sesamum,169.0,100.0,0.591715976331361
66470,Haryana,FARIDABAD,2010,Rabi       ,Rapeseed &Mustard,935.0,2000.0,2.1390374331550803
66471,Haryana,FARIDABAD,2010,Rabi       ,Wheat,31683.0,145000.0,4.576586813117444
66474,Haryana,FARIDABAD,2011,Kharif     ,Arhar/Tur,233.0,200.0,0.8583690987124464
